Batrach,paraphrase,line
ἀγγέλλων,ἀγγελίαν,138
ἀγερώχων,τῶν ἀνδρείων καὶ ἀλαζόνων,145
ἀρηγέμεναι,βοηθεῖν,187
ἀγκυλοχεῖλαι,ὅμοια ἄκμοσι καὶ καμπύλους ὄνυχας ,294
ἀγόρευε,λέγε,23
ἀγόρευσεν,ἐλάλει,76
ἀγχέμαχοι,σύνεγγυς μάχεσθαι,195
ἀγχοῦ,,264
ἀθανάτοισιν,ἀθανάτοις θεοῖς,185
Ἀϊδόσδε βεβήκει,ὤιχετο ἔξω,236
αἰπὺν,ἀφανιστικόν,249
αἰπὺν,χαλεπόν,279
αἰχμητάων,πολεμιστῶν,291
ἀκολύμβους,τοὺς ἰδιώτας καὶ ἀπείρους τοῦ νεῖν,158
ἀκόντισε,ἔβαλε,206
ἀκόντισεν,ἔβαλε,253
ἄκροις,ἄκροις,154
ἀλγοῦσαν,ὀδυνωμένη,192
ἀλέκτωρ,ἀλεκτρυών,192
ἀλεύατο,ἐξέφυγε,86
ἀλήθευσον,ἀληθῶς εἰπέ,14
ἄλκιμον,ἰσχυρὸν,21
ἀλύξας,διαφυγὼν καὶ διασωθεὶς,9
ἀμείνων,κρείσσων,95
ἀμύμονα,ἄμεμπτον,230
ἀμύμονα,ἀμώμητον,255
ἀμύμονος,βελτίστου,261
ἀμύμων,βέλτιστος,226
ἀμφεκάλυψαν,περιεκάλυψαν,161
ἀναίτιον,τὸν ἀθῷον καὶ μηδενὸς αἴτιον ὄντα,150
ἀνεγνάμπτοντο,ἐκάμπτοντο δὲ καὶ κατήγνυντο,300
ἀνεδρέψατο,ἀνέθρεψεν,19
ἀνέδυνε,ἀνεφέρετο,90
ἀνέπεισε,κατέπεισεν,122
ἀνέπεισε,κατέπεισεν,160
ἀπέπνευσεν,ἐξέπνευσεν,99
ἀνεχάζετο,ἀωεχώρει,248
ἀνδρῶν,ἀνδρῶν,7
ἀνεφαίνετο,ἀνεφάνη,82
ἄξω,ἄξω,15
ἀοιδῆς,ὠδῆς καὶ ἐμμελείας ποιητικῆς,2
ἀολλέες,ἀθρόοι,198
ἀπαμείβετο,πρὸς...ἀπεκρίνετο,24
ἐν ἅπασιν,ἅπασι,25
ἀπειλήσαντες,διατεινάμενοι,139
ἀπέληγε,ἀπεπαύετο,290
ἀπέπνιξε,κατέθηκεν,233
