line,paraphrase,ApSoph,scholia,comment
15.1,διέβησαν,,διέβησαν, bT ἢ τὸ ἑξῆς διέβησαν Α τὸ ἑξῆς διέβησαν τούς τε σκόλοπας καὶ τὴν τάφρον· ὑβερβατὸν γὰρ ὁ τρόπος 
15.3,κατείχοντο,,κατείχοντο,
15.4,ὑπὸ τοῦ δέους,,ὑπὸ τοῦ δέους,
15.4,ἀνέστη,,ἀνέστη,
15.4,ἐκπεπληγμένοι,,φεύγοντες, Α
15.5,,,, Ο5=Β42 ερβσε
15.6,ὁρμήσας,,ἀνορμήσας, bT ἀνορμήσας τῆς κατακλίσεως
15.7,ταρασσομενάς,,ταρασσομένους, T μετὰ λύπης ταραττομένους
15.10,ὑπὸ ἄσθματι...συνείχετο,,ὔπὸ ἄσθματος συνείχετο, συνείχετο οὐκ εὐπόρωι ἀλλ' ἀσταθμήτωι καὶ ἀσθενεῖ καὶ οὐκ εὐθεῖ πνεύματι bTil 
15.10,τὴν ψυχὴν ἐξεστηκὼς,,ἐξεστηκὼς τὴν ψυχὴν, ἀπίνυτος ὢν τὴν ψυχὴν bT 
15.11,ἀσθενέστατος,,οὐκ ἀσθενής, ἀσθενὴς ὅσον ἁφῆι Τ
15.14,ὄντως δὴ λίαν ὁ ἐπὶ κακῶς τέχνασμενος σὸς δόλος κακομήχανε ἥρα,,ὄντως δὴ ὁ ἐπὶ κακῶι σου δόλος τετεχνασμένος ὦ ἥρα,
15.14,κακομήχανε ἥρα,,κακομήχανε, 
15.16,κακοβουλϊας,,κακοβουλίας,
15.17,μαστίξω,,μαστίξω,
15.18,ἐκρέμασο,,ἐκρέμασο,
15.18, ἀπὸ ὕ̈ψο,, ἀπὸ ὕ̈ψου,
15.19,βάρη,,βάρη,
15.19,ἐπαφῆκα,,ἀπεκρέμασα,
15.20,στερεὸν,,στερεὸν,
15.21,ἐδεινοπάθουν,,ἐδεινοπάθουν,
15.22,ὅν δὲ ἔλαβον παρεστῶτα σοι,,ὃν δ' ἂν λάβοιμί σοι παρεστῶτα,
15.23,ἔρριπτον,,ἐρρίπτουν,
15.23,βαθμοῦ,,βαθμοῦ,
15.23,ἕως ἂν,,ἕως ἂν,
15.24,ὀλιγοψυχῶν,,ὀλιγοψυχῶν, ε457
15.24,ἀφῆκεν,,εἴα κατελίμπανεν,
15.25,ἀδιάλειπτος,,ἀδιάλειπτος,
15.26,πείσασα,,πείσασα,
15.27,βουλευομένη,,βουλευομένη,
15.28,ἀπήγαγεις,,ἀπαχθῆναι ποίησας,
15.29,πάλϊν,,αὖτις,
15.30,καταπαθήσαντα,,κακοπαθήσαντα,
15.31,παύση,,παύσηι,
15.32,ἐάν σοι,,ἐάν σοι,
15.36,γινωσκέτω,,γινωσκέτω,
15.37,καταρρέον,,καταρρέον,
15.37,τῆς στυγὸς ὕ̈δωρ,,στυγὸς δὲ ὕ̈δωρ,
15.39,ἡμῶν,,ἡμέτερον ἡμῶν Τr,
15.40,ἡ παρθενική τοῦτο,,τὸ ἐκ παρθενίας τοῦτο Tr,
15.40,ματαίως,,ματαίως ZYQX,
15.41,οὺ δι' ἐμὴν βούλησιν,,οὐ δι' βούλησιν ZYQX,
15.42,βλάπτει,,βλάπτει ZYQX,
15.45,συμβουλεύσαιμι,,συμβουλεύσαιμι YQX,
15.49,ἐὰν μὲν δὴ,,ἐὰν ὅπου δὴ ZYQX,
15.50,τὰ αὐτὰ ἐμοὶ φρονοῦσα,,ὅμοια καὶ τὰ αὐτὰ φρονοῦσα ἐμοί ZYQXGi Ts, 
15.51,ἑτέρως,,ἄλλως ZYQX,
15.52,μεταβάλοι,,μεταβάλοις YQX,
15.52,ἐπὶ τὸ σοὶ καὶ ἐμοὶ ἀρέσκον,,ἐπὶ τὸ σοὶ καὶ ἐμοὶ ἀρέσκον ZYQXG,
15.53,λέγηις,,λέγηις Q,
15.54,ἄπιθι,,ἔρχου ZYQX ,
15.58,τὰ ἴδια,,τὰ ἴδια ZYQX,
15.60,ἐμβάλη,,ἐμβαλῆι YQX,
15.60,εἰς λήθην ἀγάγοι,,εἰς λήθην ἀγάγοι TrGi YQX,
15.62,φυγήν,,φυγήν ZYQX,
15.68,ὑπὲρ δὲ τούτου ὀργισθεὶς,,ὑπὲρ δὲ τούτου ὀργισθεὶς Z YQXGi,
15.74,τελειωθῆναι,,τελειωθῆναι X,
15.81,συνεταῖς,,συνεταῖς ZYQX,
15.82,ἐνταῦθα ἢ ἐκεῖ,,ἐνταῦθα ἢ ἐκεῖ ZYQX,
15.84,διέπτη,,διέπτη ZYQX,
15.84,συνηθροισμένοις,,συνηθροισμένοις Tr,
15.86,ἐδεξιοῦντο,,ἐδεξιοῦντο ZYQXAti,
15.90,ταρασσομένη,,ταρασσομένη Tr,τεταραγμένη Αti
15.91,ἀκριβῶς δὴ σε ἐπτόησεν,,ἀκριβῶς δὴ σε ἐπτόησε ZYQXG,
15.91,ἀνήρ,,ἀνήρ YQX,
15.93,διερώτα,,διερώτα ZYQX,
15.94,ὑπερήφανος,,ὑπερήφανος TrZYQXG,
15.94,σκληρά,,σκληρός ZYQX,
15.97,μηχανᾶται,,μηχανᾶται ZYQXG,
15.98,χαρῆναι,,χαρῆναι ZYQX,
15.99,εὐφραινόμενος,,εὐφραινόμενος Z YQXGGi, ἱλαρός Ati
