Homeric,Paraphrase,Example
ἀβλήχρ᾽,ἀσθενῆ,8.178
ἀγαπήνορος,ἀγαπῶντο τὴν ἀνδρείαν,15.392
ἀγαπήνορος,,23.113
ἀγαπήνορος,,23.124
ἀγαπήνωρ,ἀγαπῶν τὴν ἀδρείαν,8.114
ἀγείρομεν,ἀθροίσωμεν,1.142
ἤγερθεν,συνηθροίσθησαν,1.57
ἤγερθεν,ἠθροίσθησαν,24.790
ἀγγελίην,ἀγγελίαν,15.174
ἀγγελίης,ἄγγελος,15.640
ἀγκὰς,,23.711
ἀγχιμόλοιο,ἐκ τοῦ σύνεγγϋς,24.352
ἀγχίμολον,μετ' ὀλίγον,24.283
ἄγχ᾽,ἐγγῢς,15.434
ἄγχ᾽,ἐγγῢς,24.126
ἄγων,ἄγων,1.311
ἄγων,φέρων,1.431
ἀγῶνι,ἀθροίσματι,15.428
ἀγών,ἄθροισμα,24.1
ἄγων,ἀποφέρων,24.154
ἄγων,ἄγων,24.183
ἄγων,ἐραγόμενος,24.601
ἄεθλος,,
ἄειδε,εἰπέ,1.1
ἄειδον,ἔμελπον,1.604
ἀείδοντες,ᾁδοντες,1.473
ἀεικείην,βλάβην,24.18
ἀείκιζεν,ἠτίμαζεν,24.22
ἀεικίζει,τιμωρεῖται,24.54
ἁζόμενοι,σεβόμενοι,1.21
ἠέρα,ἀορασΐαν,8.50
ἀήτη,ἀήτου,15.626
ἀθέριζον,ἀπεδοκίμαζον ἢ ἠπείθουν,1.261
ἀθύρων,παίζων,15.364
αἰγλήεντος,λαμπροῦ,1.532
αἰδεῖο,αἰδέσθητι,24.503
αἰδεῖσθαί,εὐλαβεῖσθαι,1.23
αἰδεῖσθαί,εὐλαβεῖσθαι,1.377
αἰδεῖσθε,αἰσχύνεσθεαι,15.562
αἰδέομαι,αἰδοῦμαι,24.90
αἰδέομαι,αἰδοῦμαι,24.435
αἰδέσεται,αἰδεσθήσεται,24.208
αἰδομένω,εὐλαβούμενοι,1.331
αἰδομένων,αἰδουμένων,15.563
ἀϊκὰς,βολὰς,15.709
αἰνὰ,ἐπὶ κακῷ,1.414
αἰνῇ,χαλεπῆ,15.512
αἰνὸν,δεινὴ,8.124
αἰνὸν,δεινὴ,8.147
αἰνὸν,δεινὴ,8.316
αἰνὸν,δεινὴν,8.449
αἰνὸν,χαλεπὴ,15.208
αἶνον,,23.652
αἶνος,,23.795
αἰνότατε,χαλεπώτατε,1.552
αἰνότατε,φοβερώτατε,8.462
αἰνοτάτη,δεινοτάτη,8.423
αἰνοτάτῳ,χαλεπωτάτω,8.476
αἰνῶς,χαλεπῶς,1.555
αἰνῶς,δεινῶς,8.397
αἰνῶς,πάνυ?,24.198
αἰνῶς,χαλεπῶς,24.358
ᾕρει,κατελάμβανεν,24.5
αἶσα,μοῖρα,1.416
αἶσα,μοῖρα,24.224
αἴσῃ,μοίρᾳ,1.418
αἴσῃ,μεμοιραμένον τύχῃ,15.209
αἴσῃ,μοίρᾳ,24.428
αἴσῃ,μοίρα,24.750
ἀλεγεινά,χαλεπά,24.8
ἅλα,θάλασσαν,24.13
ἁλίοιο,θαλασσίου,1.538
ἁλίοιο,θαλασσίου,1.556
ἁλός,θαλάσσης,24.12
ἄνακτα,βασιλέα,15.8
ἀνδροτῆτα,ἀνδρείαν,24.6
ἀπηύρα,ἀφείλατο,24.50
ἀπηύρας,ἀφήρηκαν,8.237
ἀπηύρων,ἀφείλοντο,1.430
ἀπούρας,ἀποστερήσας,1.356
ἀπούρας,ἀποσπάσας,1.507
ἁρματροχιὴ,,23.505
ἀστεροπητὴς,ὁ τῶν ἀστέρων αἴτιος,1.580
ἀστεροπητής,ὁ τῶν ἀστέρων αἴτιος,1.609
ἀφλοισμὸς,ἀφρὸς δὲ περὶ τὸ στόμα,15.607
Ἀχαιοὺς,ἑλλήνας,"15.6,15.44"
βηλός,ἐδάφους,1.591
βλήτροισι,γομφοις,15.678
βοῶπις πότνια Ἥρη,εὐόφθαλμε σεβασμΐα ἥρα,8.471
βοῶπις πότνια Ἥρη,ἡ μεγαλόφθαλμος καὶ σεβασμὶα ἥρα,15.34
βοῶπις πότνια Ἥρη,εὐόφθαλμε καὶ σεβασμια ἥρα,15.49
βωμὸν,βωμὸν,1.440
βωμὸς,βωμὸς,24.69
γενεαὶ,γενεαὶ,1.250
γενεῇ,γένει,15.166
γενεῇ,γενει,15.182
γενεήν,γένος,15.141
γενεήν,,23.471
γενεῆς,,23.790
γέρον,πρεσβύτα,1.26
γέρον,πρεσβύτα,1.286 
γέρον,πρεσβύτα,8.102
γέρον,πρεσβύτα,8.146
γέρον,,23.618
γέρον,,24.379
γέρον,,24.411
γέρον,,24.460
γέρον,,24.543
γέρον,,24.546
γέρον,,24.560
γέρον,,24.569
γέρον,,24.599
γέρον,,24.650
γέρον,,24.669
γέρον,,24.683
γέροντα,,24.332
γέροντα,,24.508
γέροντα,,24.515
γέροντας,γέροντας,8.518
γέροντι,γέροντι,1.358
γέροντι,,24.358
γέροντι,,24.457
γέροντος,γέροντος,1.538
γέροντος,γέροντος,1.556
γέροντος,πρεσβυτέρου,8.96
γέροντος,γέροντος,8.100
γέροντος,πρεσβύτου,15.378
γέροντος,,24.164
γέροντος,,24.248
γέροντος,,24.361
γέροντος,,24.562
γέροντος,,24.577
γέροντος,,24.671
γερόντων,γερόντων,15.721
γέρων,γέρων,1.33
γέρων,πρεσβύτης,1.380
γέρων,γέρων,1.462
γέρων,πρεσβΰτης,8.87
γέρων,πρεσβΰτης,8.90
γέρων,,23.149 
γέρων,,24.217
γέρων,,24.236
γέρων,,24.326
γέρων,,24.368
γέρων,,24.372
γέρων,,24.386
γέρων,,24.398
γέρων,,24.405
γέρων,,24.424
γέρων,,24.471
γέρων,,24.552
γέρων,,24.571
γέρων,,24.635
γέρων,,24.659
γέρων,,24.689
γέρων,,24.715
γέρων,,24.777
γλήνεα,κόσμια,24.192
γλήνη,κόρη?,8.164
γλυκεροῦ,ἡδυτάτου,24.3
γνωτοί τε γνωταί,οἱ τε συγγενες καὶ αἱ συγγενίδες,15.350
γνωτὸν,ἀδελφόν,15.336
Δαναῶν,ἑλλήνων,15.2 
δεινὰ δ᾽ ὑπόδρα ἰδὼν,δεινῶς δὲ καὶ δραστικῶς ὑπιδὼν,15.13
δούπησεν,ἐκτύπησε,15.421
δούπησεν,ἐκτύπησε,15.524
δούπησεν,ἐψόφησε,15.578
δεδουπότος,,23.679
δόχμιά,,23.116
δῷσι,παράσχοι,1.129
ἔειπεν,εἶπεν,15.13
ἕκαστοι,ἕκαστοι,24.1
ἔπεα πτερόεντα προσηύδα, λόγους ἐπτερωμένους εἶπε,15.35
ἔπεα πτερόεντα προσηύδα,λόγους ταχεῖς εἶπεν, "15.48,15.145,15.157"
ἔπεα πτερόεντα προσηύδα,λόγους ταχεῖς καὶ ἐπτερωμένους εἶπε,15.89
ἐπί,ἐπί,24.1
ἔγχεϊ μακρῷ,ὁξεῖ σιδήρῳ,15.745
ἔγχεϊ ὀξυόεντι,ὀζεῖ δόρατι,15.742
ἐγχρίμψας,,23.334
εἶβεν,κατέσταζε,24.9
ἐεισάσθην,ὥρμησαν,15.544
ἐείσατο,ἐφάνη,15.415
εἴδεται,φαίνεται,1.228
εἴδεται,φαίνεται,8.559 
εἴδεται,φαίνεται,24.197
